,season,week,home,away,game_result,yppa_diff,rush_diff,drive_points_diff,turnover_diff,sack_yards_diff,sack_times_diff
3429,2014,16,Dolphins,Vikings,1,-1.0999999999999996,-0.40000000000000036,-0.10000000000000009,1,-8,-3
3430,2014,16,Saints,Falcons,0,-2.2,-0.5,-1.73,4,42,5
3431,2014,16,Jets,Patriots,0,2.8999999999999995,0.10000000000000009,0.050000000000000044,0,-17,-2
3432,2014,16,Steelers,Chiefs,1,2.3,-0.19999999999999973,0.79,-1,-23,-5
3433,2014,16,Buccaneers,Packers,0,-4.199999999999999,-2.8,-1.7,0,46,6
3434,2014,16,Panthers,Browns,1,-0.6000000000000005,0.7999999999999998,0.52,1,-16,-2
3435,2014,16,Texans,Ravens,1,0.8000000000000003,1.1,0.8,-2,-17,-2
3436,2014,16,Rams,Giants,0,-3.299999999999999,1.5,-0.8300000000000001,3,4,1
3437,2014,16,Cowboys,Colts,1,6.7,3.1,3.56,-2,4,-1
3438,2014,16,Raiders,Bills,1,-0.20000000000000018,2.9,0.15000000000000013,-2,-14,-1
3439,2014,16,Cardinals,Seahawks,0,-6.1000000000000005,-6.0,-2.23,1,19,3
3440,2014,16,Bengals,Broncos,1,-1.0,1.0999999999999996,0.6400000000000001,-2,-11,-2
3441,2014,17,Titans,Colts,0,-7.4,3.8000000000000003,-1.37,1,28,3
3442,2014,17,Chiefs,Chargers,1,-2.0999999999999996,-0.20000000000000018,1.0,-3,-25,-3
3443,2014,17,Dolphins,Jets,0,-9.100000000000001,5.9,-1.0,0,45,6
3444,2014,17,Vikings,Bears,1,3.0,-1.0,0.30000000000000004,1,12,1
3445,2014,17,Patriots,Bills,0,-2.6999999999999993,1.3999999999999995,-0.7999999999999999,-1,14,2
3446,2014,17,Giants,Eagles,0,0.7999999999999998,-2.0999999999999996,-0.5700000000000001,0,-30,-4
3447,2014,17,Buccaneers,Saints,0,-2.8999999999999995,1.7000000000000002,0.08000000000000007,-2,5,1
3448,2014,17,Redskins,Cowboys,0,-1.3000000000000007,-2.1000000000000005,-2.07,3,27,3
3449,2014,17,Ravens,Browns,1,2.6999999999999993,0.7999999999999998,0.84,-2,-5,-3
3450,2014,17,Texans,Jaguars,1,3.4000000000000004,-5.3999999999999995,0.21999999999999997,2,-13,-2
3451,2014,17,Falcons,Panthers,0,-2.2,-1.6,-3.51,3,33,5
3452,2014,17,Broncos,Raiders,1,4.2,0.5,2.54,-1,-23,-2
3453,2014,17,Packers,Lions,1,4.9,-0.7999999999999998,1.33,1,-8,-1
3454,2014,17,49ers,Cardinals,1,-0.20000000000000018,2.3000000000000003,0.1100000000000001,-3,-2,-1
3455,2014,17,Seahawks,Rams,1,3.4000000000000004,1.6999999999999997,1.27,-1,-23,-1
3456,2014,17,Steelers,Bengals,1,2.3,-2.4,1.0300000000000002,0,-23,-3
3457,2015,18,Panthers,Cardinals,1,4.4,2.8,0.99,0,-31,-3
3458,2015,18,Steelers,Ravens,0,-1.9000000000000004,1.5,-1.03,2,24,4
3459,2015,18,Colts,Bengals,1,4.300000000000001,-0.6000000000000005,1.3399999999999999,0,-3,-2
3460,2015,18,Cowboys,Lions,1,0.5,-0.5999999999999996,0.3600000000000001,-2,35,3
3461,2015,19,Patriots,Ravens,1,1.5,-3.8000000000000003,0.33999999999999986,-1,10,2
3462,2015,19,Seahawks,Panthers,1,4.9,-0.8000000000000003,1.74,-3,4,0
3463,2015,19,Packers,Cowboys,1,-0.40000000000000036,-1.1000000000000005,0.27,0,-2,-2
3464,2015,19,Broncos,Colts,0,-1.9000000000000004,0.9000000000000004,-0.9199999999999999,-1,11,2
3465,2015,20,Seahawks,Packers,1,1.7999999999999998,1.0,0.06000000000000005,3,18,4
3466,2015,20,Patriots,Colts,1,2.5,0.0,3.4499999999999997,-2,6,1
3467,2015,21,Seahawks,Patriots,0,4.699999999999999,2.8999999999999995,-0.1499999999999999,-1,5,2
3468,2015,1,Patriots,Steelers,1,0.10000000000000142,-2.1000000000000005,0.46999999999999975,-1,-14,-1
3469,2015,1,Bills,Colts,1,5.4,0.2999999999999998,1.0500000000000003,-3,-3,-2
3470,2015,1,Bears,Packers,0,-2.299999999999999,1.2999999999999998,-0.56,1,12,2
3471,2015,1,Rams,Seahawks,1,4.8999999999999995,-1.0,0.27,2,-11,-4
3472,2015,1,Jets,Browns,1,0.7000000000000002,0.5999999999999996,1.8199999999999998,-4,-14,-3
3473,2015,1,Redskins,Dolphins,0,0.6999999999999993,0.3000000000000007,-0.8899999999999999,1,-36,-2
3474,2015,1,Jaguars,Panthers,0,-0.8999999999999995,1.5999999999999996,-0.9199999999999999,2,-3,3
3475,2015,1,Texans,Chiefs,0,-0.7999999999999998,1.7000000000000002,-0.3700000000000001,2,26,3
